data_source,sttsAccmlTrgtYr,areaNm,sexNm,rchnAggr,isuKindNm,joinCnt,joinRto,taxPrqlYn,pymtMthNm,offrTyNm,yerUnitPymtTerm
국민보험가입현황,2018,경북,여자,20대,질병,33039,22.6,,,,
국민보험가입현황,2018,경북,남자,20대,건강,7894,6,,,,
국민보험가입현황,2018,경북,여자,20대,건강,6701,6.5,,,,
국민보험가입현황,2018,경북,남자,20대,암,10861,7.7,,,,
국민보험가입현황,2018,경북,여자,20대,암,9722,8.8,,,,
국민보험가입현황,2018,경북,남자,20대,변액,20961,12.6,,,,
국민보험가입현황,2018,경북,여자,20대,변액,14747,11.7,,,,
국민보험가입현황,2018,경남,남자,20대,연금,17325,8.1,,,,
국민보험가입현황,2018,경남,여자,20대,연금,16615,9.2,,,,
국민보험가입현황,2018,경남,남자,20대,종신,84308,32.1,,,,
국민보험가입현황,2018,경남,여자,20대,종신,65174,31.1,,,,
국민보험가입현황,2018,경남,여자,10대,건강,3264,2.7,,,,
국민보험가입현황,2018,경남,남자,10대,건강,3515,2.7,,,,
국민보험가입현황,2018,광주,남자,20대,변액,17504,13.4,,,,
국민보험가입현황,2018,광주,여자,20대,변액,14978,12.8,,,,
국민보험가입현황,2018,대전,남자,20대,연금,7186,6.4,,,,
국민보험가입현황,2018,대전,여자,20대,연금,8118,8,,,,
국민보험가입현황,2018,대전,남자,20대,종신,33836,26,,,,
국민보험가입현황,2018,대전,여자,20대,종신,29052,25.6,,,,
국민보험가입현황,2018,대전,남자,20대,정기,2186,2.3,,,,
국민보험가입현황,2018,대전,여자,20대,정기,1990,2.4,,,,
국민보험가입현황,2018,대전,남자,20대,상해,3733,3.5,,,,
국민보험가입현황,2018,대전,여자,20대,상해,3438,3.5,,,,
국민보험가입현황,2018,대전,남자,20대,질병,23155,14.7,,,,
국민보험가입현황,2018,대전,남자,20대,암,9332,8.7,,,,
국민보험가입현황,2018,대전,여자,20대,암,10040,10.3,,,,
국민보험가입현황,2018,대전,남자,20대,변액,18955,14.1,,,,
국민보험가입현황,2018,대전,여자,20대,변액,15399,12.9,,,,
국민보험가입현황,2018,울산,남자,20대,연금,7246,8.7,,,,
국민보험가입현황,2018,울산,여자,20대,연금,6926,9.9,,,,
국민보험가입현황,2018,울산,남자,20대,종신,32461,29.8,,,,
국민보험가입현황,2018,울산,여자,20대,종신,25073,29.2,,,,
국민보험가입현황,2018,울산,남자,20대,정기,1990,2.3,,,,
국민보험가입현황,2018,울산,여자,20대,정기,1576,2.2,,,,
국민보험가입현황,2018,울산,남자,20대,상해,2978,3.5,,,,
국민보험가입현황,2018,울산,여자,20대,상해,2392,3.7,,,,
국민보험가입현황,2018,광주,여자,20대,암,13951,14.3,,,,
국민보험가입현황,2018,광주,남자,20대,암,13117,12.4,,,,
국민보험가입현황,2018,인천,여자,20대,종신,54422,25.2,,,,
국민보험가입현황,2018,인천,남자,20대,정기,4130,2.5,,,,
국민보험가입현황,2018,인천,여자,20대,정기,3898,2.5,,,,
국민보험가입현황,2018,인천,남자,20대,상해,6686,3.5,,,,
국민보험가입현황,2018,인천,여자,20대,상해,6309,3.6,,,,
국민보험가입현황,2018,인천,남자,20대,질병,54452,19.4,,,,
국민보험가입현황,2018,인천,여자,20대,질병,58378,22.4,,,,
국민보험가입현황,2018,인천,남자,20대,건강,10259,6.2,,,,
국민보험가입현황,2018,인천,여자,20대,건강,10384,6.9,,,,
국민보험가입현황,2018,인천,남자,20대,암,19289,10.8,,,,
국민보험가입현황,2018,인천,여자,20대,암,20216,11.8,,,,
국민보험가입현황,2018,광주,남자,20대,연금,9006,8,,,,
국민보험가입현황,2018,광주,여자,20대,연금,9809,9.5,,,,
국민보험가입현황,2018,광주,남자,20대,종신,38162,29.3,,,,
국민보험가입현황,2018,광주,여자,20대,종신,34908,30.3,,,,
국민보험가입현황,2018,광주,남자,20대,정기,3164,3.2,,,,
국민보험가입현황,2018,광주,여자,20대,정기,2905,3.2,,,,
국민보험가입현황,2018,광주,남자,20대,상해,4841,4.6,,,,
국민보험가입현황,2018,광주,여자,20대,상해,4454,4.6,,,,
국민보험가입현황,2018,광주,남자,20대,질병,35561,22.1,,,,
국민보험가입현황,2018,광주,여자,20대,질병,37242,25.7,,,,
국민보험가입현황,2018,광주,남자,20대,건강,6947,7.7,,,,
국민보험가입현황,2018,광주,여자,20대,건강,7043,8.6,,,,
국민보험가입현황,2018,전북,여자,10대,종신,5832,6.1,,,,
국민보험가입현황,2018,전북,남자,10대,정기,187,.4,,,,
국민보험가입현황,2018,전북,여자,10대,정기,166,.4,,,,
국민보험가입현황,2018,경북,여자,10대,연금,1849,2.1,,,,
국민보험가입현황,2018,경북,남자,10대,종신,8612,7.4,,,,
국민보험가입현황,2018,경북,여자,10대,종신,5622,5.5,,,,
국민보험가입현황,2018,경북,남자,10대,정기,144,.2,,,,
국민보험가입현황,2018,경북,여자,10대,정기,84,.2,,,,
국민보험가입현황,2018,경북,남자,10대,상해,836,.8,,,,
국민보험가입현황,2018,경북,여자,10대,상해,612,.6,,,,
국민보험가입현황,2018,경북,남자,10대,질병,8430,4.5,,,,
국민보험가입현황,2018,경북,여자,10대,질병,8838,6,,,,
국민보험가입현황,2018,경북,남자,10대,건강,1947,2.2,,,,
국민보험가입현황,2018,경북,여자,10대,건강,1676,2.2,,,,
국민보험가입현황,2018,경북,남자,10대,암,1594,1.5,,,,
국민보험가입현황,2018,경북,여자,10대,암,1507,1.6,,,,
국민보험가입현황,2018,경북,남자,10대,변액,3473,3.1,,,,
국민보험가입현황,2018,경북,여자,10대,변액,2382,2.5,,,,
국민보험가입현황,2018,경남,남자,10대,연금,4972,2.7,,,,
국민보험가입현황,2018,경남,여자,10대,연금,4118,2.4,,,,
국민보험가입현황,2018,경남,남자,10대,종신,15066,8.1,,,,
국민보험가입현황,2018,경남,여자,10대,종신,10689,6.3,,,,
국민보험가입현황,2018,경남,남자,10대,정기,318,.2,,,,
국민보험가입현황,2018,경남,여자,10대,정기,255,.2,,,,
국민보험가입현황,2018,경남,남자,10대,상해,1533,1,,,,
국민보험가입현황,2018,경남,여자,10대,상해,1105,.8,,,,
국민보험가입현황,2018,경북,남자,10대,연금,2451,2.3,,,,
국민보험가입현황,2018,전남,여자,10대,변액,2611,2.4,,,,
국민보험가입현황,2018,전북,남자,10대,상해,812,.8,,,,
국민보험가입현황,2018,전북,여자,10대,상해,651,.7,,,,
국민보험가입현황,2018,전북,남자,10대,질병,7306,3.8,,,,
국민보험가입현황,2018,전북,여자,10대,질병,7616,5,,,,
국민보험가입현황,2018,전북,남자,10대,건강,1691,2.4,,,,
국민보험가입현황,2018,전북,여자,10대,건강,1734,2.7,,,,
국민보험가입현황,2018,전북,남자,10대,암,1735,1.8,,,,
국민보험가입현황,2018,전북,여자,10대,암,1944,2.2,,,,
국민보험가입현황,2018,전북,남자,10대,변액,3279,3,,,,
국민보험가입현황,2018,전북,여자,10대,변액,2617,2.5,,,,
국민보험가입현황,2018,전남,남자,10대,연금,3163,3.2,,,,
국민보험가입현황,2018,전남,여자,10대,연금,2732,3,,,,
국민보험가입현황,2018,전남,남자,10대,종신,8280,7.7,,,,
국민보험가입현황,2018,전남,여자,10대,종신,6283,6.3,,,,
국민보험가입현황,2018,전남,남자,10대,정기,180,.3,,,,
국민보험가입현황,2018,전남,여자,10대,정기,169,.2,,,,
